name,feature_id,languages,cell_ids
"Andaman and Nicobar Islands","0x3064a00f2b650ff3:0xce80055648fccb2c","hi;bn;ta;te;ml","0x3062a90000000000;0x3062ab0000000000;0x3062ad0000000000;0x30635f0000000000;0x3063610000000000;0x30642d0000000000;0x30642e7000000000;0x3064935000000000;0x306494b000000000;0x30649f0000000000;0x3064a10000000000;0x3064eb5400000000;0x3064ecaab0000000;0x306501c000000000;0x306507f000000000;0x3065084000000000;0x30658d0000000000;0x30658e4000000000;0x3065910000000000;0x3065930000000000;0x3065a14000000000;0x3065a3c000000000;0x3065a50000000000;0x3065a70000000000;0x3065a90000000000;0x3065c10000000000;0x3065c30000000000;0x3065c50000000000;0x3065c6b000000000;0x3065d30000000000;0x3065dd5554000000;0x3065e50000000000;0x3065e70000000000;0x3065ec0000000000;0x3065f04000000000;0x3065f30000000000;0x3065fab000000000;0x3068cb0000000000;0x3068ccb000000000;0x3068d40000000000;0x3069250000000000;0x3069270000000000;0x30692c0000000000;0x3069340000000000;0x30693a0c00000000;0x306ed30000000000;0x306ed50000000000;0x306ed70000000000;0x306f2c0000000000;0x306f310000000000;0x306f330000000000;0x306f350000000000;0x306f36c000000000;0x306f4a9000000000;0x307d550000000000;0x307d56c000000000;0x3086310000000000;0x3086390000000000;0x30863b0000000000;0x3087c1fc00000000;0x3087c24000000000;0x3087e30000000000;0x3087e4ab00000000;0x3087e9fc00000000;0x3087ea0100000000;0x3087f94000000000;0x3087fb0000000000;0x3087fd0000000000;0x3087ff0000000000;0x3088040000000000;0x30880c0000000000;0x3088127c00000000;0x3088128400000000;0x3088610000000000;0x3088630000000000;0x308865d000000000;0x30886cc000000000;0x3088850000000000;0x3088870000000000;0x3088890000000000;0x30888dc000000000;0x30888f0000000000;0x3088940000000000;0x3088990000000000;0x30889b0000000000;0x30889d0000000000;0x3088a30000000000;0x3088a50000000000;0x3088a70000000000;0x3088a8c000000000;0x3088ad0000000000;0x3088af0000000000;0x3088b40000000000;0x3088bc0000000000;0x3088c7c000000000;0x3088c84000000000;0x3088cdc000000000;0x3088d10000000000;0x3088d30000000000;0x3088d4c000000000;0x3088d70000000000;0x3088d90000000000;0x3088db0000000000;0x3088df4000000000;0x308c1b0000000000;0x308d86c000000000;0x308ed5c000000000;0x308f050000000000;0x308f070000000000;0x308f0c0000000000;0x308f140000000000;0x308f190000000000;0x308f1b0000000000;0x308f22c000000000;0x308f25d000000000;0x308f270000000000;0x308f290000000000;0x308f2b0000000000;0x308f2d0000000000;0x308f2eb000000000;0x308f310000000000;0x308f350000000000;0x308f370000000000;0x308f3c0000000000;0x308f440000000000;0x308f4c0000000000;0x308f52c000000000;0x308f6c0000000000;0x308f730000000000;0x308f750000000000;0x308f770000000000;0x308f910000000000;0x308f93c000000000;0x308f944000000000;0x308f975000000000;0x308f9c0000000000;0x308fa40000000000;0x308fa84000000000;0x308fafc000000000;0x308fb10000000000;0x308fb3fc00000000;0x308fb50000000000;0x308fb70000000000;0x308fbc0000000000;0x308fd00000000000;0x3090270000000000;0x3090284000000000;0x309029c000000000;0x30902b0000000000;0x30902d0000000000;0x30902f0000000000"
"Andhra Pradesh","0x3a3546f8ae93d47f:0x33d1bbbe95adcd83","te;ur;hi;ta","0x3a30ac0000000000;0x3a30b40000000000;0x3a30cc0000000000;0x3a30d2c000000000;0x3a31354000000000;0x3a314aac00000000;0x3a342c0000000000;0x3a34340000000000;0x3a344b0000000000;0x3a35040000000000;0x3a350c0000000000;0x3a35140000000000;0x3a353c0000000000;0x3a35500000000000;0x3a35700000000000;0x3a35c00000000000;0x3a36400000000000;0x3a36840000000000;0x3a368c0000000000;0x3a36940000000000;0x3a36b00000000000;0x3a36d00000000000;0x3a36f00000000000;0x3a37400000000000;0x3a37c00000000000;0x3a38030000000000;0x3a381c0000000000;0x3a38240000000000;0x3a382c0000000000;0x3a3832c000000000;0x3a390c0000000000;0x3a3912c000000000;0x3a39440000000000;0x3a39540000000000;0x3a395c0000000000;0x3a39700000000000;0x3a39900000000000;0x3a39a40000000000;0x3a39b40000000000;0x3a39bc0000000000;0x3a39d00000000000;0x3a39f00000000000;0x3a3a100000000000;0x3a3a300000000000;0x3a3a440000000000;0x3a3a4c0000000000;0x3a3a640000000000;0x3a3a6c0000000000;0x3a3a740000000000;0x3a3b07c000000000;0x3a3b0c0000000000;0x3a3b5c0000000000;0x3a3b700000000000;0x3a3bc00000000000;0x3a3c040000000000;0x3a3c0c0000000000;0x3a3c140000000000;0x3a3c1ab000000000;0x3a3c370000000000;0x3a3c3c0000000000;0x3a3c500000000000;0x3a3c700000000000;0x3a3c900000000000;0x3a3ca10000000000;0x3a3cf40000000000;0x3a3cfc0000000000;0x3a3d100000000000;0x3a3d3ff000000000;0x3a3d440000000000;0x3a3d5d4000000000;0x3a3d67c000000000;0x3a3d6c0000000000;0x3a3d730000000000;0x3a3da70000000000;0x3a3dac0000000000;0x3a3db30000000000;0x3a48240000000000;0x3a482c0000000000;0x3a49840000000000;0x3a498c0000000000;0x3a49940000000000;0x3a499b0000000000;0x3a49c40000000000;0x3a49d40000000000;0x3a49dc0000000000;0x3a49f00000000000;0x3a4a100000000000;0x3a4a240000000000;0x3a4a284000000000;0x3a4a3c0000000000;0x3a4a440000000000;0x3a4a4f0000000000;0x3a4a540000000000;0x3a4a5c0000000000;0x3a4a700000000000;0x3a4ac00000000000;0x3a4b400000000000;0x3a4ba70000000000;0x3a4bac0000000000;0x3a4c540000000000;0x3a4c5c0000000000;0x3a4c640000000000;0x3a4c7c0000000000;0x3a4cc00000000000;0x3a4d400000000000;0x3a4d840000000000;0x3a4d8c0000000000;0x3a4d900000100000;0x3a4d9c0000000000;0x3a4da40000000000;0x3a4dac0000000000;0x3a529c0000000000;0x3a52a40000000000;0x3a52ac0000000000;0x3bad500000000000;0x3bad700000000000;0x3bad840000000000;0x3bad940000000000;0x3bad9c0000000000;0x3bada40000000000;0x3badaf0000000000;0x3badb40000000000;0x3badbc0000000000;0x3badc40000000000;0x3badcc0000000000;0x3bb0454000000000;0x3bb04c0000000000;0x3bb0540000000000;0x3bb05c0000000000;0x3bb0b40000000000;0x3bb0d00000000000;0x3bb0f00000000000;0x3bb1400000000000;0x3bb1840000000000;0x3bb1940000000000;0x3bb19c0000000000;0x3bb1a40000000000;0x3bb1ac0000000000;0x3bb1bc0000000000;0x3bb2140000000000;0x3bb2300000000000;0x3bb2500000000000;0x3bb2700000000000;0x3bb2c00000000000;0x3bb3400000000000;0x3bb3c00000000000;0x3bb4400000000000;0x3bb4c00000000000;0x3bb5400000000000;0x3bb5900000000000;0x3bb5b00000000000;0x3bb5d00000000000;0x3bb5e40000000000;0x3bb5ec0000000000;0x3bb5f2c000000000;0x3bb60c0000000000;0x3bb6140000000000;0x3bb6340000000000;0x3bb63c0000000000;0x3bb6500000000000;0x3bb6700000000000;0x3bb6c00000000000;0x3bb7040000000000;0x3bb7140000000000;0x3bb71c0000000000;0x3bb7300000000000;0x3bb7410000000000;0x3bb74c0000000000;0x3bb76b0000000000;0x3bb7a5c000000000;0x3bb7a64000000000;0x3bb7ac0000000000;0x3bb7b40000000000;0x3bb7cc0000000000;0x3bcaac0000000000;0x3bcab40000000000"
"Arunachal Pradesh","0x374043466a1c7227:0x76b56e552f9a92f2","en","0x37142b0000000000;0x3714340000000000;0x37144c0000000000;0x3714540000000000;0x3715100000000000;0x3715240000000000;0x37152d0000000000;0x3715340000000000;0x37153c0000000000;0x3715500000000000;0x3715700000000000;0x3715c00000000000;0x3716040000000000;0x37160c0000000000;0x3716140000000000;0x3716740000000000;0x37167a4000000000;0x3738940000000000;0x3738b00000000000;0x3738c40000000000;0x3738cc0000000000;0x3738d40000000000;0x3738db0000000000;0x3738eac000000000;0x37392c0000000000;0x373932c000000000;0x373c140000000000;0x373c1c0000000000;0x373c300000000000;0x373c500000000000;0x373c640000000000;0x373c6c0000000000;0x373c710000000000;0x373c7c0000000000;0x373c870000000000;0x373c884000000000;0x373d100000000000;0x373d6c0000000000;0x373d740000000000;0x373d7c0000000000;0x373dc00000000000;0x373e400000000000;0x373e900000000000;0x373ea40000000000;0x373eb7c000000000;0x373ebc0000000000;0x373ed00000000000;0x373ef00000000000;0x373f270000000000;0x373f2c0000000000;0x373f340000000000;0x373f3b0000000000;0x373f4c0000000000;0x373f7c0000000000;0x373fc00000000000;0x3740400000000000;0x3740840000000000;0x37408c0000000000;0x3740e40000000000;0x3740edc000000000;0x3740ef0000000000;0x3740f40000000000;0x3740fc0000000000;0x3741100000000000;0x37413c0000000000;0x3741440000000000;0x37414f0000000000;0x3741540000000000;0x37415c0000000000;0x3741700000000000;0x3741c00000000000;0x3742400000000000;0x37428b0000000000;0x3742c40000000000;0x3742d7c000000000;0x3742dc0000000000;0x3742f00000000000;0x3743400000000000;0x3743c00000000000;0x3744040000000000;0x37440c0000000000;0x3744130000000000;0x3744700000000000;0x3744840000000000;0x37448c0000000000;0x37449c0000000000;0x3744a40000000000;0x3744ac0000000000;0x3744b40000000000;0x3746ac0000000000;0x375b500000000000;0x375b640000000000;0x375b690000000000;0x375c440000000000;0x375c4f0000000000;0x375c540000000000;0x375c5c0000000000;0x375c640000000000;0x375c6c0000000000;0x375c8c0000000000;0x375c940000000000;0x375c9c0000000000;0x375cb00000000000;0x375cd00000000000;0x375cf00000000000;0x3769dc0000000000;0x3769e40000000000;0x3769fc0000000000;0x376a040000000000;0x376a0c0000000000;0x376a140000000000;0x376a3ff000000000;0x376a440000000000;0x376a57c000000000;0x376a5c0000000000;0x376a700000000000;0x376ac00000000000"
"Assam","0x374516c94c312d63:0xd11a73bb736719fb","en","0x3738ac0000000000;0x3738b30000000000;0x373e540000000000;0x373e5c0000000000;0x373ec40000000000;0x373edc0000000000;0x373ee40000000000;0x373ee90000000000;0x373efc0000000000;0x373f400000000000;0x373f830000000000;0x373f9c0000000000;0x373fa40000000000;0x373fac0000000000;0x3740900000000000;0x3740b00000000000;0x3740d00000000000;0x3740e40000000000;0x3740ec0000000000;0x3740f30000000000;0x3741140000000000;0x37411c0000000000;0x3741300000000000;0x3741440000000000;0x37414c0000000000;0x3741540000000000;0x3744100000000000;0x3744300000000000;0x3744500000000000;0x3744640000000000;0x37446c0000000000;0x3744740000000000;0x37447ab000000000;0x3744854000000000;0x37448c0000000000;0x3744940000000000;0x37449c0000000000;0x3744b00000000000;0x3744d00000000000;0x3744f00000000000;0x3745400000000000;0x3745900000000000;0x3745b00000000000;0x3745d00000000000;0x3745e40000000000;0x3745ec0000000000;0x3745f40000000000;0x3745fb0000000000;0x37460c0000000000;0x3746140000000000;0x37465c0000000000;0x3746700000000000;0x3746c00000000000;0x374702ac00000000;0x3747170000000000;0x37471c0000000000;0x3747300000000000;0x3747440000000000;0x37474c0000000000;0x3747540000000000;0x374e040000000000;0x374e0fff00000000;0x374e140000000000;0x374e1c0000000000;0x374e300000000000;0x374e500000000000;0x374e640000000000;0x374e6c0000000000;0x374ef40000000000;0x374efc0000000000;0x374f100000000000;0x374f440000000000;0x374f5c0000000000;0x374f700000000000;0x374f900000000000;0x374fb00000000000;0x374fd00000000000;0x374fe54000000000;0x374fec0000000000;0x374ff40000000000;0x374ffc0000000000;0x37502c0000000000;0x3751d00000000000;0x3751f00000000000;0x3757ff0000000000;0x375807f000000000;0x37580c0000000000;0x3758140000000000;0x3758340000000000;0x37583c0000000000;0x3758500000000000;0x3758700000000000;0x3758900000000000;0x3758bc0000000000;0x3758c40000000000;0x3758dc0000000000;0x3758f00000000000;0x3759100000000000;0x3759204000000000;0x375942aab0000000;0x37595c0000000000;0x3759700000000000;0x3759900000000000;0x3759b00000000000;0x3759c40000000000;0x3759cc0000000000;0x3759e50000000000;0x3759ec0000000000;0x3759f40000000000;0x3759fc0000000000;0x375a040000000000;0x375a0ffc00000000;0x375a140000000000;0x375a1c0000000000;0x375a300000000000;0x375a500000000000;0x375a640000000000;0x375a6c0000000000;0x375a8c0000000000;0x375ab00000000000;0x375ad00000000000;0x375af00000000000;0x375b100000000000;0x375b300000000000;0x375b440000000000;0x375b4c0000000000;0x375b52aaac000000;0x375b6c0000000000;0x375b740000000000;0x375b940000000000;0x375b9c0000000000;0x375bb00000000000;0x375bd00000000000;0x375be40000000000;0x375bec0000000000;0x39e2650000000000;0x39e2740000000000;0x39e27c0000000000;0x39e2900000000000;0x39e2b00000000000;0x39e2ecc000000000;0x39fd540000000000"
"Bihar","0x39ed5844f0bb6903:0x57ad3fed1bbae325","hi;ur;bn","0x398c300000000000;0x398c500000000000;0x398c8c0000000000;0x398c940000000000;0x398cb50000000000;0x398cbf0000000000;0x398cd00000000000;0x398cf00000000000;0x398d400000000000;0x398dc00000000000;0x398e0c0000000000;0x398e140000000000;0x398e700000000000;0x398e840000000000;0x398e9d0000000000;0x39920ac000000000;0x3992454000000000;0x39924c0000000000;0x3992540000000000;0x39925c0000000000;0x3992740000000000;0x39927c0000000000;0x3992c00000000000;0x3993400000000000;0x3993840000000000;0x39938c0000000000;0x39939c0000000000;0x3993b00000000000;0x3993c70000000000;0x3993c90000000000;0x3994140000000000;0x39943c0000000000;0x3994440000000000;0x39945c0000000000;0x3994700000000000;0x3994900000000000;0x3994a40000000000;0x3994bd0000000000;0x39e4540000000000;0x39e4fc0000000000;0x39e5100000000000;0x39e52d0000000000;0x39e5340000000000;0x39e5390000000000;0x39e5500000000000;0x39e5700000000000;0x39e5804000000000;0x39e5830000000000;0x39e59c0000000000;0x39e5a40000000000;0x39e5ac0000000000;0x39ec300000000000;0x39ec500000000000;0x39ec640000000000;0x39ec8c0000000000;0x39ec940000000000;0x39ecad0000000000;0x39ecb40000000000;0x39ecbc0000000000;0x39ecd00000000000;0x39ecf00000000000;0x39ed400000000000;0x39edc00000000000;0x39ee400000000000;0x39ee840000000000;0x39ee8c0000000000;0x39ee910000000000;0x39ee9c0000000000;0x39eef40000000000;0x39eefc0000000000;0x39ef040000000000;0x39ef0c0000000000;0x39ef100400000000;0x39ef1ab000000000;0x39ef740000000000;0x39ef7c0000000000;0x39efc00000000000;0x39f0100000000000;0x39f0300000000000;0x39f0500000000000;0x39f06c0000000000;0x39f0740000000000;0x39f0e40000000000;0x39f0efff00000000;0x39f0f40000000000;0x39f0fc0000000000;0x39f1100000000000;0x39f1440000000000;0x39f15c0000000000;0x39f1700000000000;0x39f1c00000000000;0x39f2400000000000;0x39f2c00000000000;0x39f3100000000000;0x39f3300000000000;0x39f3470000000000;0x39f34c0000000000;0x39f3a70000000000;0x39f3ac0000000000;0x39f3b40000000000;0x39f3cc0000000000;0x39f3d40000000000;0x39f3dc0000000000;0x39fa940000000000;0x39fab00000000000;0x39fac01000000000;0x39facc0000000000;0x39fad40000000000;0x39faeb0000000000"
"Chandigarh","0x390fecc4f133937f:0x7c8b9738300d12a","hi;pa;ur;ta","0x390f92b000000000;0x390f92d000000000;0x390f933000000000;0x390f934ab0000000;0x390feb5f00000000;0x390feb7000000000;0x390fed0000000000;0x390fee4000000000;0x390fee9000000000;0x390feea100000000;0x390ff18b00000000;0x390ff1d000000000;0x390ff1f000000000;0x390ff24000000000;0x390ff29000000000;0x390ff2b000000000"
"Chhattisgarh","0x3a261f16c67a8bad:0x5c23f412fb179d95","hi;or;bn","0x3985d7c000000000;0x3986100000000000;0x3986240000000000;0x39862c0000000000;0x39863c0000000000;0x3986440000000000;0x39865d0000000000;0x3986700000000000;0x39875f0000000000;0x3987640000000000;0x39877c0000000000;0x3987840000000000;0x39878c0000000000;0x3987940000000000;0x39879b0000000000;0x3987bc0000000000;0x3987d00000000000;0x3987f00000000000;0x3989000000000000;0x398a100000000000;0x398a300000000000;0x398a440000000000;0x398a4c0000000000;0x398a504000000000;0x398a5c0000000000;0x398a700000000000;0x398a8c0000000000;0x398af40000000000;0x398bb40000000000;0x398bbc0000000000;0x398bd00000000000;0x398be40000000000;0x398bfc0000000000;0x398eac0000000000;0x398eb40000000000;0x398ecab000000000;0x3a209c0000000000;0x3a20a40000000000;0x3a20ac0000000000;0x3a20b40000000000;0x3a20bb0000000000;0x3a20cc0000000000;0x3a20d2b000000000;0x3a250c0000000000;0x3a25140000000000;0x3a253f0000000000;0x3a25700000000000;0x3a25900000000000;0x3a25e40000000000;0x3a25f40000000000;0x3a25fc0000000000;0x3a26100000000000;0x3a26300000000000;0x3a26500000000000;0x3a26640000000000;0x3a266c0000000000;0x3a26740000000000;0x3a26850000000000;0x3a268c0000000000;0x3a26940000000000;0x3a269c0000000000;0x3a26bc0000000000;0x3a26c40000000000;0x3a26d40000000000;0x3a26dc0000000000;0x3a26f00000000000;0x3a27400000000000;0x3a27c00000000000;0x3a28400000000000;0x3a28c00000000000;0x3a29400000000000;0x3a29900000000000;0x3a29b00000000000;0x3a29d00000000000;0x3a29e40000000000;0x3a29ec0000000000;0x3a29f40000000000;0x3a2a2c0000000000;0x3a2b8d0000000000;0x3a2b940000000000;0x3a2bc30000000000;0x3a2bd40000000000;0x3a2bdc0000000000;0x3a2bf00000000000;0x3a2c100000000000;0x3a2c300000000000;0x3a2c4c0000000000;0x3a2db70000000000;0x3a2db90000000000;0x3a2dd00000000000;0x3a2de40000000000;0x3a2df40000000000;0x3a2dfc0000000000;0x3a2e400000000000;0x3a2ec00000000000;0x3a2f400000000000;0x3a2f840000000000;0x3a2f8d4000000000;0x3a2f940000000000;0x3a2f9c0000000000;0x3a2fb00000000000;0x3a2fd00000000000;0x3a2ff00000000000;0x3a30400000000000;0x3a308c0000000000;0x3a30df0000000000;0x3a30f00000000000;0x3a31400000000000;0x3a31c00000000000;0x3a32100000000000;0x3a32300000000000;0x3a32440000000000;0x3a324c0000000000;0x3a32501000000000;0x3a325c0000000000;0x3a32670000000000;0x3a326c0000000000;0x3a32740000000000;0x3a33cd0000000000;0x3a33d40000000000;0x3a33dc0000000000;0x3a33e10000000000;0x3a36b40000000000;0x3a36cc0000000000;0x3a36d30000000000;0x3a3a9c0000000000;0x3a3aa00400000000"
"Dadra and Nagar Haveli","0x3be0cb6d4a4c3ed5:0x25181c86d4de1850","gu;hi","0x3be0b37000000000;0x3be0b50000000000;0x3be0b64000000000;0x3be0c95500000000;0x3be0cb0000000000;0x3be0cd0000000000;0x3be0ce7000000000;0x3be0cec000000000;0x3be7314000000000;0x3be7334000000000;0x3be733c000000000;0x3be7350000000000;0x3be7370000000000;0x3be745c000000000;0x3be7464000000000;0x3be7490000000000;0x3be74b0000000000;0x3be74ec000000000;0x3be74f4000000000"
"Daman and Diu","0x3be0da908a3b00a1:0xa8404ab9b47242","gu;hi;mr","0x3be0cfe400000000;0x3be0cffc00000000;0x3be0d01000000000;0x3be0d02555400000;0x3be0d02c00000000;0x3be0d03400000000;0x3be0d03c00000000;0x3be0d05000000000;0x3be0d07000000000;0x3be0d09000000000;0x3be0d0a400000000;0x3be0d0bc00000000;0x3be0d0c400000000;0x3be0d0dc00000000;0x3be0d0f000000000;0x3be0d11f00000000;0x3be0d12400000000;0x3be0d1ac00000000;0x3be0d1b400000000;0x3be0d1cc00000000;0x3be0d1d300000000;0x3be0da0c00000000;0x3be0da1400000000;0x3be0da3f00000000;0x3be0da5000000000;0x3be0da7000000000;0x3be0da9000000000;0x3be0daa400000000;0x3be0daac00000000;0x3be0dab7f0000000;0x3be0dabc00000000;0x3be0dac400000000;0x3be0dacc00000000;0x3be0dad100000000;0x3be0dadc00000000;0x3be0daf000000000;0x3be0db0400000000;0x3be302cd00000000;0x3be302d300000000;0x3be31c2400000000;0x3be31c2c00000000;0x3be31c3400000000;0x3be31c5000000000;0x3be31cd000000000;0x3be31cf000000000;0x3be31d1000000000;0x3be31d3000000000;0x3be31db000000000;0x3be31dd000000000;0x3be31e4400000000;0x3be31e5400000000;0x3be31e5c00000000;0x3be31e7000000000;0x3be31e8400000000;0x3be31e8c00000000;0x3be31e9b00000000;0x3be31e9d00000000;0x3be31ef400000000"
"Delhi","0x390cfd5b347eb62d:0x37205b715389640","hi;pa;ur;bn","0x390c54d000000000;0x390c554000000000;0x390cde3000000000;0x390cdfc000000000;0x390ce10000000000;0x390ce30000000000;0x390ce44000000000;0x390ce4c000000000;0x390ce54000000000;0x390ce65000000000;0x390ce66400000000;0x390ce6c000000000;0x390cfb4000000000;0x390cfbc000000000;0x390cfd0000000000;0x390cfe4000000000;0x390cfec000000000;0x390cffc000000000;0x390d040000000000;0x390d090000000000;0x390d0d4000000000;0x390d0dc000000000;0x390d0f0000000000;0x390d110000000000;0x390d130000000000;0x390d16d000000000;0x390d1c0000000000;0x390d204000000000;0x390d21d540000000;0x390da70000000000;0x390da90000000000;0x390dab0000000000"
